destination_area,2000,2005,2010,2015,2020,2000males,2005males,2010males,2015males,2020males,2000females,2005females,2010females,2015females,2020females,growth,average,country_id
American Samoa,299,450,600,598,599,210,314,418,416,418,89,136,182,182,181,3.3479584412715813,509.2,1
Antigua and Barbuda,110,118,126,134,139,53,57,61,65,69,57,61,65,69,70,1.1902846203235917,125.4,29
Argentina,7441,9964,12480,14401,14541,4075,5384,6688,7713,7831,3366,4580,5792,6688,6710,3.416506090895524,11765.4,15
Aruba,622,855,1072,1127,1260,330,444,551,579,635,292,411,521,548,625,3.3761337190314116,987.2,30
Australia,222160,309498,459570,606700,763593,107176,144730,211264,276597,346590,114984,164768,248306,330103,417003,6.2847139365913876,472304.2,218
Austria,12370,13772,15347,14883,17776,5717,6196,6738,6238,7502,6653,7576,8609,8645,10274,1.6054643389929986,14829.6,165
Bahamas,118,151,183,198,209,75,89,103,111,119,43,62,80,87,90,2.828572897755805,171.8,31
Bangladesh,122691,145405,160252,162772,159619,66254,78519,86537,87897,49302,56437,66886,73715,74875,110317,1.2781378970246422,150147.8,233
Barbados,0,30,41,43,42,0,17,23,25,25,0,13,18,18,17,,31.2,32
Belgium,6757,12247,15591,19048,21418,3121,5821,6415,8034,8840,3636,6426,9176,11014,12578,5.497972941925408,15012.2,160
Belize,1144,1434,1798,2119,2401,630,789,990,1161,1318,514,645,808,958,1083,3.7463707713435075,1779.2,33
Bermuda,145,96,40,65,54,91,47,14,19,23,54,49,26,46,31,-4.730920626569598,80.0,34
Bhutan,570,714,858,906,949,304,376,448,673,706,266,338,410,233,243,2.515402438532119,799.4,234
Bolivia,553,763,970,1131,1256,349,478,605,704,783,204,285,365,427,473,4.068516271686564,934.6,20
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,35
Botswana,1348,2720,4111,4466,4777,1301,2282,3278,3561,3812,47,438,833,905,965,6.05248543389096,3484.4,97
Brazil,10326,14884,19232,22671,24632,5665,8099,10410,12197,13539,4661,6785,8822,10474,11093,4.319125225103598,18349.0,21
Brunei Darussalam,2408,2462,2516,2570,2797,1290,1326,1362,1398,1523,1118,1136,1154,1172,1274,0.6848672893827228,2550.6,236
Bulgaria,524,657,780,1083,1550,283,348,411,525,742,241,309,369,558,808,5.337686559401764,918.8,183
Cabo Verde,51,37,22,23,23,26,18,10,10,11,25,19,12,13,12,-4.1361730606108535,31.2,71
Cambodia,3227,2519,1811,1634,1750,1873,1492,1109,1014,1088,1354,1027,702,620,662,-3.313410502402931,2188.2,226
