destination_area,2000,2005,2010,2015,2020,2000males,2005males,2010males,2015males,2020males,2000females,2005females,2010females,2015females,2020females,growth,average,country_id
Albania,3498,2953,2408,2373,2225,2088,1854,1512,1490,1399,1410,1099,896,883,826,-2.247071094529147,2691.4,164
Algeria,1094,865,950,1032,1072,536,424,445,483,502,558,441,505,549,570,0.2717903128145416,1002.6,125
American Samoa,3578,3066,2553,2548,2557,1878,1578,1278,1267,1272,1700,1488,1275,1281,1285,-1.714007240589325,2860.4,1
Andorra,89,101,100,105,112,47,53,53,59,65,42,48,47,46,47,0.9971296728843448,101.4,154
Anguilla,339,390,424,454,473,97,112,122,131,136,242,278,302,323,337,1.6362820422812432,416.0,28
Antigua and Barbuda,2157,2313,2469,2626,2747,1079,1156,1233,1311,1374,1078,1157,1236,1315,1373,1.2209969440870747,2462.4,29
Argentina,9364,6908,4450,5135,5184,4881,3653,2425,2797,2839,4483,3255,2025,2338,2345,-2.958382996122584,6208.2,15
Aruba,681,638,583,612,683,360,326,287,301,328,321,312,296,311,355,-0.07148178797981508,639.4,30
Australia,59690,70508,85330,104650,116620,30729,35843,43109,54014,57806,28961,34665,42221,50636,58814,3.468815675122414,87359.6,218
Austria,7649,8481,9419,10070,11648,3907,4230,4599,4822,5721,3742,4251,4820,5248,5927,2.025702963160221,9453.4,165
Bahamas,4300,6587,8919,9664,10359,2103,3228,4365,4694,5033,2197,3359,4554,4970,5326,4.283582000573599,7965.8,31
Bahrain,545,771,1169,1267,1641,377,524,788,870,1144,168,247,381,397,497,5.4025387992230085,1078.6,193
Bangladesh,31610,37560,43455,46008,45115,17070,20283,23466,24845,13935,14540,17277,19989,21163,31180,1.8287163170185357,40749.6,233
Barbados,1315,1147,985,1034,1044,611,531,454,476,481,704,616,531,558,563,-1.1305388287991196,1105.0,32
Belarus,90,86,82,87,84,38,35,33,37,36,52,51,49,50,48,-0.2528498411456539,85.8,182
Belgium,15495,14650,15162,15979,16382,7743,7253,7451,7972,8261,7752,7397,7711,8007,8121,0.39633316880314595,15533.6,160
Belize,1914,2694,3474,4097,4647,1012,1416,1826,2142,2430,902,1278,1648,1955,2217,4.386562069441438,3365.2,33
Bermuda,2916,3157,3428,3572,3606,1183,1316,1438,1499,1526,1733,1841,1990,2073,2080,1.0965521494156505,3335.8,34
Bhutan,85,107,129,136,141,45,56,67,71,75,40,51,62,65,66,2.5040866380997002,119.6,234
Bolivia,3656,3935,4206,4897,5453,1914,2055,2192,2551,2837,1742,1880,2014,2346,2616,2.0366088311097066,4429.4,20
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,35
Botswana,55,507,793,861,920,22,201,371,403,433,33,306,422,458,487,12.327328940915557,627.2,97
Brazil,13981,18779,23311,20626,22410,8192,10890,13424,9380,10499,5789,7889,9887,11246,11911,2.0748584745642056,19821.4,21
British Virgin Islands,910,1042,1537,1758,1994,410,469,703,797,904,500,573,834,961,1090,4.183883115907172,1448.2,36
Brunei Darussalam,144,147,150,153,165,102,104,106,108,118,42,43,44,45,47,0.6245393665257168,151.8,236
Bulgaria,565,826,1071,2129,3454,294,426,554,1079,1881,271,400,517,1050,1573,9.135475892985733,1609.0,183
Cabo Verde,275,307,338,351,370,148,158,168,174,184,127,149,170,177,186,1.4548045836441297,328.2,71
Cambodia,386,301,216,195,208,220,175,130,119,128,166,126,86,76,80,-3.3414185714243096,261.2,226
Cameroon,0,823,655,819,952,0,418,347,383,446,0,405,308,436,506,,649.8,127
Canada,255952,273338,263470,252159,273226,123473,127449,119643,112741,122161,132479,145889,143827,139418,151065,0.09993889119682818,263629.0,14
Cayman Islands,1821,2133,2640,2878,3212,928,1078,1333,1450,1624,893,1055,1307,1428,1588,2.8691643193081013,2536.8,37
Central African Republic,831,649,637,548,579,721,563,552,475,502,110,86,85,73,77,-1.7836241286419605,648.8,128
Chile,7884,8953,10019,15178,17015,4366,5012,5656,8856,8429,3518,3941,4363,6322,8586,4.132756353308988,11809.8,17
China,8474,12251,15475,19088,20762,4839,7540,10101,12762,13882,3635,4711,5374,6326,6880,4.471391560353798,15210.0,235
Colombia,15068,15039,16977,18963,20810,7691,7724,8928,10204,11343,7377,7315,8049,8759,9467,1.7551271727205844,17371.4,38
Congo,83,53,125,166,164,46,35,77,99,98,37,18,48,67,66,5.007495029719245,118.2,100
Cook Islands,18,24,29,30,32,13,16,18,19,20,5,8,11,11,12,2.7477436822426675,26.6,3
Costa Rica,9667,6336,12492,12673,15209,5570,3616,7144,7214,8984,4097,2720,5348,5459,6225,3.1991295208066575,11275.4,39
Croatia,835,1221,1606,1616,1519,312,531,749,751,707,523,690,857,865,812,2.954070640920344,1359.4,167
Cuba,569,459,349,253,176,242,205,167,123,84,327,254,182,130,92,-5.884907199018768,361.2,40
Curacao,0,0,305,330,384,0,0,158,172,205,0,0,147,158,179,,203.8,41
Cyprus,1446,2174,3335,3063,3161,673,995,1553,1445,1503,773,1179,1782,1618,1658,3.81400131629087,2635.8,138
Czech Republic,1033,2286,3320,5209,8115,631,1464,2191,3264,4663,402,822,1129,1945,3452,9.892156710097082,3992.6,168
North Korea,649,792,934,1028,1049,338,417,496,549,560,311,375,438,479,489,2.442257675170195,890.4,240
Denmark,8596,9857,10647,11883,14528,4492,5125,5520,6102,7227,4104,4732,5127,5781,7301,2.4729772615638694,11102.2,169
Dominica,356,439,534,623,637,218,268,328,383,393,138,171,206,240,244,3.0274499103050942,517.8,42
Dominican Republic,11133,17831,24567,14010,14626,5860,9347,12854,7373,7684,5273,8484,11713,6637,6942,0.6092140740027681,16433.4,43
Ecuador,11112,13293,21172,26802,28026,5853,7135,11111,13980,16141,5259,6158,10061,12822,11885,5.102906042609085,20081.0,18
Egypt,4416,5257,5655,3886,6075,2287,2879,3001,2314,3295,2129,2378,2654,1572,2780,0.6714303792431409,5057.8,140
El Salvador,4603,4871,5176,5397,5488,2282,2416,2562,2676,2722,2321,2455,2614,2721,2766,0.9085104799781262,5107.0,11
Estonia,191,409,624,642,1181,95,241,384,413,725,96,168,240,229,456,8.18911984789725,609.4,184
Eswatini,146,190,228,256,259,74,86,93,102,104,72,104,135,154,155,2.8891925046029563,215.8,112
Falkland Islands,21,30,17,19,23,13,18,7,8,11,8,12,10,11,12,-0.5496296921685238,22.0,16
Faroe Islands,26,31,39,41,45,16,18,21,19,21,10,13,18,22,24,2.7534335314336733,36.4,92
Finland,2442,3335,3907,4427,5445,1362,1881,2187,2544,3152,1080,1454,1720,1883,2293,3.774020471550479,3911.2,185
France,42863,47875,50621,56103,61668,18371,21912,21047,22425,24734,24492,25963,29574,33678,36934,1.7722163785420728,51826.0,156
French Polynesia,437,457,441,419,419,238,250,247,235,235,199,207,194,184,184,-0.3418740426379454,434.6,4
Gabon,283,310,359,502,550,153,170,200,311,340,130,140,159,191,210,3.6219411667581873,400.8,102
Georgia,107,101,102,107,109,65,62,63,67,69,42,39,39,40,40,0.1894928263102429,105.2,186
Germany,109838,110843,110802,113721,152639,60803,62230,62728,64090,85383,49035,48613,48074,49631,67256,1.3675430025044264,119568.6,161
Ghana,487,685,508,625,716,227,341,236,291,334,260,344,272,334,382,1.3583297984605753,604.2,74
Greece,22885,23058,24186,22792,23297,10079,10067,10404,9287,10398,12806,12991,13782,13505,12899,0.0481653240159261,23243.6,143
Greenland,26,27,30,39,38,14,19,19,24,24,12,8,11,15,14,2.2534080470702484,32.0,85
