id,country,confucius_institute,partner_uni,status,location_alt
1,Afghanistan,Confucius Institute (Chinese Department) at Kabul University,,Closed,
2,Albania,Confucius Institute at University of Tirana,,Closed,
3,Angola,Confucius Institute at Agostinho Neto University,,Closed,
4,Antigua and Barbuda,Confucius Institute at Antigua and Barbuda,,Closed,
5,Argentina,Confucius Institute at National University of Cordoba,,Closed,
6,Argentina,Confucius Institute at the Universidad Nacional de La Plata ,,Closed,
7,Argentina,Confucius Institute at the University of Buenos Aires,,Closed,
8,Armenia,Confucius Institute at Yerevan Brusov State University of Languages and Social Sciences,,Closed,
9,Australia,Business Confucius Institute at Victoria University,,Closed,
10,Australia,Chinese Medicine Confucius Institute at RMIT University,,Open,
11,Australia,Confucius Institute at Charles Darwin University,,Closed,
12,Australia,Confucius Institute at La Trobe University,,Closed,
13,Australia,Confucius Institute at New South Wales Department of Education,,Closed,New South Wales University
14,Australia,Confucius Institute at Queensland University of Technology,,Closed,
15,Australia,Confucius Institute at the University of Adelaide,,Closed,
16,Australia,Confucius Institute at the University of Melbourne,,Closed,
17,Australia,Confucius Institute at the University of New South Wales,,Closed,
18,Australia,Confucius Institute at the University of Newcastle,,Open,
19,Australia,Confucius Institute at the University of Queensland,,Open,
20,Australia,Confucius Institute at the University of Sydney,,Closed,
21,Australia,Confucius Institute at the University of Western Australia,,Closed,
22,Australia,Tourism Confucius Institute at Griffith University,,Open,
23,Austria,Confucius Institute at University of Graz,,Open,
24,Austria,Confucius Institute at the University of Vienna,,Open,
25,Azerbaijan,Confucius Institute at Azerbaijan University of Languages,,Closed,
26,Azerbaijan,Confucius Institute at Baku State University,,Open,
27,Bahamas,Confucius Institute at University of The Bahamas,,Closed,
28,Bahrain,Confucius Institute at University of Bahrain,,Closed,
29,Bangladesh,Confucius Institute at North South University Dhaka,,Closed,
30,Bangladesh,Confucius Institute at University of Dhaka,,Closed,
31,Barbados,"Confucius Institute at the University of the West Indies, Cave Hill Campus",,Open,
32,Belarus,Confucius Institute at Belarusian State University of Physical Culture,,Closed,Belarusian State University
33,Belarus,Confucius Institute at Brest State named after A.S. Pushkin University,,Closed,Brest State
34,Belarus,Confucius Institute at Francisk Skorina Gomel State University,,Closed,Belarusian State University
35,Belarus,Confucius Institute at Minsk State Linguistic University,,Closed,Minsk State University
36,Belarus,Confucius Institute on Science and Technology at Belarusian National Technical University,,Closed,
37,Belarus,Republican Confucius Institute of Sinology at Belarusian State University,,Closed,
38,Belgium,Confucius Institute at Group T-International Engineering Academy-University of Leuven,,Closed,Katholieke Universiteit Leuven
39,Belgium,Confucius Institute at ULB,,Closed,
40,Belgium,Confucius Institute at University College West Flanders,,Closed,
41,Belgium,Confucius Institute at VUB,,Closed,
42,Belgium,Confucius Institute in Brussels,,Closed,
43,Belgium,Confucius Institute in Liege,,Closed,
44,Benin,Confucius Institute at University of Abomey-Calavi,,Closed,
45,Bolivia,Confucius Institute at the University of San Simon,,Closed,
46,Bosnia and Herzegovina,Confucius Institute at University of Banja Luka,,Closed,
47,Bosnia and Herzegovina,Confucius Institute at University of Sarajevo,,Closed,
48,Botswana,Confucius Institute at the University of Botswana,,Closed,
49,Brazil,Business Confucius Institute at FAAP,,Closed,
50,Brazil,Confucius Institute at Federal University of Rio Grande Do Sul,,Open,
51,Brazil,Confucius Institute at Pontifical Catholic University of Rio de Janeiro,,Open,Pontifical Catholic University
52,Brazil,Confucius Institute at Sao Paulo State University,,Open,
53,Brazil,Confucius Institute at University of Brasilia,,Closed,
54,Brazil,Confucius Institute at the Federal University of Ceara,,Closed,
55,Brazil,Confucius Institute at the Federal University of Minas Gerais,,Open,
56,Brazil,Confucius Institute at the State University of Campinas,,Closed,University of Campina
57,Brazil,Confucius Institute at the State University of Para,,Closed,Federal University of Para
58,Brazil,Confucius Institute at the University of Pernambuco,,Closed,
59,Brazil,Confucius Institute of Chinese Medicine at the Federal University of Goias,,Closed,
60,Bulgaria,Confucius Institute at St. Cyril and St. Methodius University of Veliko Turnovo,,Open,St. Cyril and St. Methodius University
61,Bulgaria,Confucius Institute in Sofia,,Closed,
62,Burkina Faso,Confucius Institute at Bobo-Dioulasso Polytechnic University,,Closed,
63,Burundi,Confucius Institute at the University of Burundi,,Closed,
64,Cambodia,Confucius Institute at University of Battambang,,Closed,
65,Cambodia,Confucius Institute of Royal Academy of Cambodia,,Closed,
66,Cameroon,Confucius Institute at the University of Yaounde,,Closed,
67,Canada,Confucius Institute at BCIT,,Closed,
68,Canada,Confucius Institute at Brock University,,Open,
69,Canada,Confucius Institute at Carleton University,,Closed,
70,Canada,Confucius Institute at Saint Mary's University,,Closed,
71,Canada,Confucius Institute at Seneca College,,Open,
72,Canada,Confucius Institute at University of Regina,,Open,
73,Canada,Confucius Institute at University of Saskatchewan,,Open,
74,Canada,Confucius Institute in Coquitlam,,Closed,
75,Canada,Confucius Institute in Edmonton,,Open,
76,Canada,Confucius Institute in New Brunswick,,Open,
77,Canada,Confucius Institute in Quebec,,Closed,
78,Canada,Confucius Institute in Waterloo,,Closed,
79,Cape Verde,Confucius Institute at University of Cabo Verde,,Closed,University of Cape Verde
80,Central African Republic,Confucius Institute at University of Bangui,,Closed,
81,Chad,Confucius Institute at University of N'Djamena,,Closed,
82,Chile,Confucius Institute at Catholic University,,Open,
83,Chile,Confucius Institute at University of Saint Thomas,,Open,
84,Chile,Confucius Institute at the University of La Frontera,,Closed,
85,China,Confucius Institute of Hong Kong,,Closed,
86,Colombia,Confucius Institute at Jorge Tadeo Lozano University,,Closed,
87,Colombia,Confucius Institute at the University of Los Andes,,Closed,
88,Colombia,Confucius Institute in Medellin,,Closed,
89,Comores,Confucius Institute at University of Comoros,,Closed,
90,Congo,Confucius Institute at University of Marien NGOUABI,,Closed,
91,Costa Rica,Confucius Institute at the University of Costa Rica,,Closed,
92,Croatia,Confucius Institute at University of Zagreb,,Closed,
93,Cuba,Confucius Institute at the University of Havana,,Closed,
94,Cyprus,Confucius Institute at University of Cyprus,,Closed,
95,Czech Republic,Confucius Institute at Palacky University,,Open,
96,Czech Republic,Confucius Institute at University of Finance and Administration,,Closed,
97,Democratic People's Republic of Korea,Chinese Language Center at Pyongyang University of Foreign Studies,,Closed,
98,Denmark,Confucius Institute at International Business Academy,,Closed,
99,Denmark,Confucius Institute at the Royal Danish Academy of Music,,Closed,
100,Ecuador,Confucius Institute at San Francisco University of Quito,,Open,University of Quito
101,Egypt,Confucius Institute at Cairo University,,Closed,
102,Egypt,Confucius Institute at Suez Canal University,,Open,
103,El Salvador,Confucius Institute at the University of El Salvador,,Closed,
104,Equatorial Guinea,Confucius Institute at National University of Equatorial Guinea,,Closed,
105,Eritrea,Confucius Institute at National Board for Higher Education,,Closed,
106,Estonia,Confucius Institute at Tallinn University,,Open,
107,Ethiopia,Confucius Institute at Addis Ababa University,,Closed,
108,Ethiopia,Confucius Institute at Technical & Vocational Education and Training Institute of Ethiopia,,Closed,
109,Fiji,Confucius Institute at the University of the South Pacific,,Closed,
110,Finland,Confucius Institute at the University of Helsinki,,Open,
111,France,Confucius Institute Cote d'Azur,,Closed,
112,France,Confucius Institute at ESCP Europe,,Closed,
113,France,Confucius Institute at Paris Diderot University,,Open,
114,France,Confucius Institute at Pau,,Closed,
115,France,Confucius Institute at Pays de la Loire,,Closed,Pays de la Loire University
116,France,Confucius Institute at University of French Polynesia,,Closed,
117,France,Confucius Institute at University of Lorraine,,Closed,
118,France,Confucius Institute at University of Orleans,,Closed,
119,France,Confucius Institute at the University of Poitiers,,Closed,
120,France,Confucius Institute in Alsace,,Closed,
121,France,Confucius Institute in Artois,,Closed,
122,France,Confucius Institute in Brittany,,Closed,
123,France,Confucius Institute in Clermont-Ferrand,,Closed,
124,France,Confucius Institute in La Rochelle,,Closed,
125,France,Confucius Institute in Montpellier,,Closed,
126,France,Confucius Institute of Reunion Island,,Closed,
127,France,Confucius Institute of the Chinese Cultural Center in Paris,,Open,
128,France,Neoma Confucius Institute for Business-Rouen,,Closed,Neoma
129,Gabon,Confucius Institute at Omar Bongo University,,Closed,
130,Gambia,Confucius Institute at University of the Gambia,,Closed,
131,Georgia,Confucius Institute at Free University of Tbilisi,,Open,
132,Georgia,Confucius Institute at Tbilisi Open Teaching University,,Closed,
133,Germany,Academic Confucius Institute at University of Gottingen,,Closed,
134,Germany,Audi Ingolstadt Confucius Institute,,Closed,
135,Germany,Confucius Institute Bonn,,Closed,
136,Germany,Confucius Institute Metropole Ruhr at the University of Duisburg-Essen,,Open,
137,Germany,Confucius Institute at Erfurt University of Applied Sciences,,Closed,
138,Germany,Confucius Institute at Fachhochschule Stralsund University of Applied Sciences,,Closed,Hochschule Stralsund College
139,Germany,Confucius Institute at Frankfurt University,,Closed,
140,Germany,Confucius Institute at Heidelberg University,,Closed,
141,Germany,Confucius Institute at Trier University,,Open,
142,Germany,Confucius Institute at University of Paderborn,,Closed,
143,Germany,Confucius Institute at the Free University of Berlin,,Closed,University of Berlin
144,Germany,Confucius Institute at the University of Duesseldorf,,Closed,
145,Germany,Confucius Institute at the University of Freiburg,,Closed,
146,Germany,Confucius Institute at the University of Hamburg,,Closed,
147,Germany,Confucius Institute at the University of Leipzig,,Open,
148,Germany,Confucius Institute in Bremen,,Open,
149,Germany,Confucius Institute in Munich,,Closed,
150,Germany,Confucius Institute in Nuremberg-Erlangen,,Open,
151,Germany,Leibniz-Confucius Institute Hannover,,Closed,
152,Ghana,Confucius Institute at the University of Cape Coast,,Closed,
153,Ghana,Confucius Institute at the University of Ghana,,Closed,
154,Greece,Business Confucius Institute in Athens,,Closed,
155,Greece,Confucius Institute at Aristotle University of Thessaloniki,,Closed,
156,Greece,Confucius Institute at University of Thessaly,,Closed,
157,Guinea,Confucius Institute at Gamal Abdel Nasser University of Conakry,,Closed,
158,Guyana,Confucius Institute at the University of Guyana,,Closed,
159,Hungary,Confucius Institute at Eotvos Lorand University,,Open,
160,Hungary,Confucius Institute at University of Debrecen,,Open,
161,Hungary,Confucius Institute at University of Miskolc,,Closed,
162,Hungary,Confucius Institute at University of Szeged,,Closed,
163,Hungary,Confucius Institute for Traditional Chinese Medicine at University of Pecs,,Open,
164,Iceland,Northern Light Confucius Institute,,Open,
165,India,Bharathiar University,,Closed,
166,India,Chinese Language Teaching Center at Lovely Professional University,,Closed,
167,India,Confucius Institute at University of Mumbai,,Open,
168,India,Confucius Institute at VIT University,,Closed,
169,India,"K.R. Mangalam University, Gurugram",,Closed,
170,India,School of Chinese Language in Kolkata,,Closed,
171,India,Taiwan Education Center (TEC) at Chitkara University,,Closed,
172,India,Taiwan Education Center at O.P. Global University,,Closed,
173,Indonesia,Confucius Institute at Universitas Sebelas Maret,,Closed,
174,Indonesia,Mandarin Language Center (PBM) at University of Al Azhar Indonesia,,Closed,
175,Indonesia,Pusat Bahasa Mandarin at Hasanuddin University,,Closed,
176,Indonesia,Pusat Bahasa Mandarin at Maranatha Christian University,,Closed,
177,Indonesia,Pusat Bahasa Mandarin at Tanjungpura University,,Closed,
178,Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Malang,,Closed,
179,Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Surabaya,,Closed,
180,Indonesia,Tourism Confucius Institute at Udayana University,,Closed,
181,Iran,Confucius Institute at University of Tehran,,Open,
182,Iran,Confucius Institute at the University of Mazandaran,,Closed,
183,Ireland,Chinese and Regenerative Medicine Confucius Institute at National University of Ireland Galway,,Closed,
184,Ireland,Confucius Institute at University College Cork in Ireland,,Closed,
185,Ireland,"Confucius Institute at University College Dublin, Ireland",,Closed,
186,Israel,Confucius Institute at Hebrew University of Jerusalem,,Closed,
187,Israel,Confucius Institute at Tel Aviv University,,Open,
188,Italy,Confucius Institute at Ca' Foscari University of Venice,,Closed,
189,Italy,Confucius Institute at Catholic University of the Sacred Heart,,Closed,
190,Italy,Confucius Institute at Oriental University of Napoli,,Closed,
191,Italy,Confucius Institute at Sapienza University of Rome,,Closed,
192,Italy,Confucius Institute at University of Enna Kore,,Closed,
