Country,Confucius Institute,Link,Active,City,Other Links,"date est.
(mm/dd/yyyy)",,
Afghanistan,Confucius Institute (Chinese Department) at Kabul University,http://www.ku.edu.af/,probably,Kabul,https://english.tyut.edu.cn/info/1008/1778.htm,,,
Albania,Confucius Institute at University of Tirana,http://www.ciut.edu.al/,yes,Tirana,,,,
Angola,Confucius Institute at Agostinho Neto University,http://english.hanban.org/node_42885.htm,yes,Sapu,https://books.google.com/books?id=JmgREAAAQBAJ&pg=PA202&lpg=PA202&dq=Confucius+Institute+at+Toamasina+University&source=bl&ots=jAE614zu17&sig=ACfU3U0TUCcQUg8jRDpSf-OCEvwXvxHZPQ&hl=en&sa=X&ved=2ahUKEwjNlefzs5XyAhUsMlkFHaZABkUQ6AF6BAgLEAM#v=onepage&q=Confucius%20Institute%20at%20Toamasina%20University&f=false,2/6/2015,,
Antigua and Barbuda,Confucius Institute at Antigua and Barbuda,http://zhuanti.hanban.org/videolist/?cat=685&tag=en,probably,Piggotts,https://foundationhalo.org/confucius-institute-of-antigua-and-barbuda/,11/15/2019,,
Argentina,Confucius Institute at the University of Buenos Aires,http://www.institutoconfucio.edu.ar/,yes,Buenos Aires,https://www.facebook.com/XinhuaNewsAgency/posts/3541898865837532,11/30/2019,,
Argentina,Confucius Institute at the National University of La Plata,http://www.institutoconfucio.iri.edu.ar/,yes,La Plata,,,,
Argentina,Confucius Institute at National University of Cordoba,http://zhuanti.hanban.org/videolist/?cat=682&tag=en,yes,Córdoba,https://www.unc.edu.ar/english/confucius-institute-national-university-cordoba-was-opened,10/13/2020,,
Armenia,Confucius Institute at Yerevan Brusov State University of Languages and Social Sciences,http://english.hanban.org/node_10871.htm,yes,Yerevan,http://www.confuciusinstitute.am/,3/1/2009,,
Australia,Confucius Institute at the University of Western Australia,http://confuciusinstitute.uwa.edu.au/,yes,Perth,,1/1/2005,,
Australia,Confucius Institute at the University of Melbourne,http://www.confuciusinstitute.unimelb.edu.au/,yes,Melbourne,,,,
Australia,Confucius Institute at the University of Adelaide,http://blogs.adelaide.edu.au/confucius/,yes,Adelaide,https://confucius.adelaide.edu.au/,3/1/2007,,
Australia,Confucius Institute at the University of Queensland,http://confucius-institute.centre.uq.edu.au/,yes,Brisbane,,7/1/1905,,
Australia,Confucius Institute at Queensland University of Technology,http://www.qut.edu.au/confucius-institute,yes,Brisbane,,,,
Australia,Confucius Institute at the University of Sydney,http://sydney.edu.au/confucius_institute/,yes,Sydney,,6/30/1905,,
Australia,Confucius Institute at the University of New South Wales,http://www.confuciusinstitute.unsw.edu.au/,yes,Kensington,,6/29/1905,,
Australia,Chinese Medicine Confucius Institute at Royal Melbourne Institute of Technology,http://www.rmit.edu.au/about%20our-education/academic-schools/health-and-biomedical-sciences/about/chinese-medicine.confucius-institute,no,Melbourne,"https://www.brisbanetimes.com.au/politics/federal/china-backed-confucius-institutes-face-closure-under-veto-laws-20210423-p57lvo.html

https://collegenews.org/australia-to-shut-down-chinese-learning-institutions-due-to-propaganda-suspicion/",,,
Australia,Confucius Institute at the University of Newcastle,http://www.newcastle.edu.au/confucius-institute,probably,Callaghan,https://www.newcastleherald.com.au/story/5976019/questions-over-university-of-newcastle-confucius-institute/,5/18/2013,,
Australia,Confucius Institute at Charles Darwin University,http://www.cdu.edu.au/confucius-institute,yes,Darwin,https://www.abc.net.au/news/2019-08-29/northern-territory-government-flags-review-confucius-classroom/11457482,7/21/2012,,
Australia,Confucius Institute at New South Wales Department of Education,http://english.hanban.org/node_41923.htm,no,Parramatta,"https://education.nsw.gov.au/news/media-releases/confucius-agreement-to-be-replaced-with--1-2-million-chinese-language-and-culture-programs

https://www.abc.net.au/news/2019-08-23/nsw-government-scraps-confucius-classroom-foreign-influence-fear/11440936",,,
Australia,Business Confucius Institute at Victoria University,https://www.vu.edu.au/victoria-business-confucius-institute-vbci,probably,Footscray,,6/24/1905,,
