index,Country,Confucius Institute,Location,Status
0,Afghanistan,Confucius Institute (Chinese Department) at Kabul University,kabul university,Closed
1,Albania,Confucius Institute at University of Tirana,university of tirana,Closed
2,Angola,Confucius Institute at Agostinho Neto University,agostinho neto university,Closed
3,Antigua and Barbuda,Confucius Institute at Antigua and Barbuda,antigua and barbuda,Closed
4,Argentina,Confucius Institute at the University of Buenos Aires,the university of buenos aires,Closed
5,Argentina,Confucius Institute at the National University of La Plata,the national university of la plata,Closed
6,Argentina,Confucius Institute at National University of Cordoba,national university of cordoba,Closed
7,Armenia,Confucius Institute at Yerevan Brusov State University of Languages and Social Sciences,yerevan brusov state university of languages and social sciences,Closed
8,Australia,Confucius Institute at the University of Western Australia,the university of western australia,Closed
9,Australia,Confucius Institute at the University of Melbourne,the university of melbourne,Closed
10,Australia,Confucius Institute at the University of Adelaide,the university of adelaide,Closed
11,Australia,Confucius Institute at the University of Queensland,the university of queensland,Open
12,Australia,Confucius Institute at Queensland University of Technology,queensland university of technology,Closed
13,Australia,Confucius Institute at the University of Sydney,the university of sydney,Closed
14,Australia,Confucius Institute at the University of New South Wales,the university of new south wales,Closed
15,Australia,Chinese Medicine Confucius Institute at Royal Melbourne Institute of Technology,royal melbourne institute of technology,Open
16,Australia,Confucius Institute at the University of Newcastle,the university of newcastle,Open
17,Australia,Confucius Institute at Charles Darwin University,charles darwin university,Closed
18,Australia,Confucius Institute at New South Wales Department of Education,new south wales department of education,Closed
19,Australia,Business Confucius Institute at Victoria University,victoria university,Closed
20,Australia,Tourism Confucius Institute at Griffith University,griffith university,Open
21,Australia,Confucius Institute at La Trobe University,la trobe university,Closed
22,Austria,Confucius Institute at the University of Vienna,the university of vienna,Open
23,Austria,Confucius Institute at University of Graz,university of graz,Open
24,Azerbaijan,Confucius Institute at Baku State University,baku state university,Open
25,Azerbaijan,Confucius Institute at Azerbaijan University of Languages,azerbaijan university of languages,Closed
26,Bahamas,Confucius Institute at University of The Bahamas,university of the bahamas,Closed
27,Bahrain,Confucius Institute at University of Bahrain,university of bahrain,Closed
28,Bangladesh,Confucius Institute at North South University,north south university,Closed
29,Bangladesh,Confucius Institute at University of Dhaka,university of dhaka,Closed
30,Barbados,"Confucius Institute at the University of the West Indies, Cave Hill Campus","the university of the west indies, cave hill campus",Open
31,Belarus,Republican Confucius Institute of Sinology at Belarusian State University,belarusian state university,Closed
32,Belarus,Confucius Institute at Minsk State Linguistic University,minsk state linguistic university,Closed
33,Belarus,Confucius Institute on Science and Technology at Belarusian National Technical University,belarusian national technical university,Closed
34,Belarus,Confucius Institute at Francisk Skorina Gomel State University,francisk skorina gomel state university,Closed
35,Belarus,Confucius Institute at Brest State named after A.S. Pushkin University,brest state named after a.s. pushkin university,Closed
36,Belarus,Confucius Institute at Belarusian State University of Physical Culture,belarusian state university of physical culture,Closed
37,Belgium,Confucius Institute in Brussels,None,Closed
38,Belgium,Confucius Institute in Liege,None,Closed
39,Belgium,Confucius Institute at University College West Flanders,university college west flanders,Closed
40,Belgium,Confucius Institute at Group T-International Engineering Academy-University of Leuven,group t-international engineering academy-university of leuven,Closed
41,Belgium,Confucius Institute at ULB,Universite Libre de Bruxelles,Closed
42,Belgium,Confucius Institute at VUB,Vrije Universiteit Brussel,Closed
43,Benin,Confucius Institute at University of Abomey-Calavi,university of abomey-calavi,Closed
44,Bolivia,Confucius Institute at the University of San Simon,the university of san simon,Closed
45,Bosnia and Herzegovina,Confucius Institute at University of Sarajevo,university of sarajevo,Closed
46,Bosnia and Herzegovina,Confucius Institute at University of Banja Luka,university of banja luka,Closed
47,Botswana,Confucius Institute at the University of Botswana,the university of botswana,Closed
48,Brazil,Confucius Institute at Sao Paulo State University,sao paulo state university,Open
49,Brazil,Business Confucius Institute at FAAP,Armando Alvares Penteado Foundation,Closed
50,Brazil,Confucius Institute at the Federal University of Minas Gerais,the federal university of minas gerais,Open
51,Brazil,Confucius Institute at the University of Pernambuco,the university of pernambuco,Closed
52,Brazil,Confucius Institute at Federal University of Rio Grande Do Sul,federal university of rio grande do sul,Open
53,Brazil,Confucius Institute at University of Brasilia,university of brasilia,Closed
54,Brazil,Confucius Institute at Pontifical Catholic University of Rio de Janeiro,pontifical catholic university of rio de janeiro,Open
55,Brazil,Confucius Institute at the State University of Campinas,the state university of campinas,Closed
56,Brazil,Confucius Institute at the State University of Para,the state university of para,Closed
57,Brazil,Confucius Institute at the Federal University of Ceara,the federal university of ceara,Closed
58,Brazil,Confucius Institute of Chinese Medicine at the Federal University of Goias,the federal university of goias,Closed
59,Bulgaria,Confucius Institute in Sofia,None,Closed
60,Bulgaria,Confucius Institute at St. Cyril and St. Methodius University of Veliko Turnovo,st. cyril and st. methodius university of veliko turnovo,Open
61,Burkina Faso,Confucius Institute at Bobo-Dioulasso Polytechnic University,bobo-dioulasso polytechnic university,Closed
62,Burundi,Confucius Institute at the University of Burundi,the university of burundi,Closed
63,Cambodia,Confucius Institute of Royal Academy of Cambodia,Royal Academy of Cambodia,Closed
64,Cambodia,Confucius Institute at University of Battambang,university of battambang,Closed
65,Cameroon,Confucius Institute at the University of Yaounde,the university of yaounde,Closed
66,Canada,Confucius Institute at University of Regina,university of regina,Open
67,Canada,Confucius Institute at BCIT,British Columbia Institute of Technology,Closed
68,Canada,Confucius Institute in Coquitlam,"Coquitlam, Canada",Closed
69,Canada,Confucius Institute in Waterloo,"Waterloo, Canada",Closed
70,Canada,Confucius Institute in Quebec,"Quebec, Canada",Closed
71,Canada,Confucius Institute in New Brunswick,"New Brunswick, Canada",Open
72,Canada,Confucius Institute in Edmonton,"Edmonton, Canada",Open
73,Canada,Confucius Institute at Brock University,brock university,Open
74,Canada,Confucius Institute at Carleton University,carleton university,Closed
75,Canada,Confucius Institute at Saint Mary's University,saint mary's university,Closed
76,Canada,Confucius Institute at Seneca College,seneca college,Open
77,Canada,Confucius Institute at University of Saskatchewan,university of saskatchewan,Open
78,Cape Verde,Confucius Institute at University of Cabo Verde,university of cabo verde,Closed
79,Central African Republic,Confucius Institute at University of Bangui,university of bangui,Closed
80,Chad,Confucius Institute at University of N'Djamena,university of n'djamena,Closed
81,Chile,Confucius Institute at University of Saint Thomas,university of saint thomas,Open
82,Chile,Confucius Institute at Catholic University,catholic university,Open
83,Chile,Confucius Institute at the University of La Frontera,the university of la frontera,Closed
84,Colombia,Confucius Institute in Medellin,"Medellin, Colombia",Closed
85,Colombia,Confucius Institute at the University of Los Andes,the university of los andes,Closed
86,Colombia,Confucius Institute at Jorge Tadeo Lozano University,jorge tadeo lozano university,Closed
87,Comores,Confucius Institute at University of Comoros,university of comoros,Closed
88,Congo,Confucius Institute at University of Marien NGOUABI,university of marien ngouabi,Closed
89,Costa Rica,Confucius Institute at the University of Costa Rica,the university of costa rica,Closed
90,Croatia,Confucius Institute at University of Zagreb,university of zagreb,Closed
91,Cuba,Confucius Institute at the University of Havana,the university of havana,Closed
92,Cyprus,Confucius Institute at University of Cyprus,university of cyprus,Closed
93,Czech Republic,Confucius Institute at Palacky University,palacky university,Open
94,Czech Republic,Confucius Institute at University of Finance and Administration,university of finance and administration,Closed
95,Denmark,Confucius Institute at the Royal Danish Academy of Music,the royal danish academy of music,Closed
96,Denmark,Confucius Institute at International Business Academy,international business academy,Closed
97,Democratic People's Republic of Korea,Chinese Language Center at Pyongyang University of Foreign Studies,pyongyang university of foreign studies,Closed
98,Ecuador,Confucius Institute at San Francisco University of Quito,san francisco university of quito,Open
99,Egypt,Confucius Institute at Cairo University,cairo university,Closed
100,Egypt,Confucius Institute at Suez Canal University,suez canal university,Open
101,El Salvador,Confucius Institute at the University of El Salvador,the university of el salvador,Closed
102,Equatorial Guinea,Confucius Institute at National University of Equatorial Guinea,national university of equatorial guinea,Closed
103,Eritrea,Confucius Institute at National Board for Higher Education,national board for higher education,Closed
104,Estonia,Confucius Institute at Tallinn University,tallinn university,Open
105,Ethiopia,Confucius Institute at Technical & Vocational Education and Training Institute of Ethiopia,technical & vocational education and training institute of ethiopia,Closed
106,Ethiopia,Confucius Institute at Addis Ababa University,addis ababa university,Closed
107,Fiji,Confucius Institute at the University of the South Pacific,the university of the south pacific,Closed
108,Finland,Confucius Institute at the University of Helsinki,the university of helsinki,Open
109,France,Confucius Institute at the University of Poitiers,the university of poitiers,Closed
110,France,Confucius Institute at Paris Diderot University,paris diderot university,Open
111,France,Confucius Institute of the Chinese Cultural Center in Paris,Chinese Cultural Center in Paris,Open
112,France,Confucius Institute in Brittany,"Brittany, Fance",Closed
113,France,Confucius Institute in La Rochelle,"La Rochelle, France",Closed
114,France,Confucius Institute in Alsace,"Alsace, France",Closed
115,France,Confucius Institute in Clermont-Ferrand,"Clermont-Ferrand, France",Closed
116,France,Confucius Institute in Artois,"Artois, France",Closed
117,France,Confucius Institute at Pays de la Loire,pays de la loire,Closed
118,France,Confucius Institute at University of Lorraine,university of lorraine,Closed
119,France,Confucius Institute at University of French Polynesia,university of french polynesia,Closed
120,France,Confucius Institute in Montpellier,"Montpellier, France",Closed
121,France,Confucius Institute of Reunion Island,"Reunion Island, France",Closed
122,France,Neoma Confucius Institute for Business-Rouen,Neoma Business School,Closed
123,France,Confucius Institute Cote d'Azur,"Cote d'Azur, France",Closed
124,France,Confucius Institute at ESCP Europe,escp europe,Closed
125,France,Confucius Institute at University of Orleans,university of orleans,Closed
126,France,Confucius Institute at Pau,"Pau Pyrenees, France",Closed
127,Gabon,Confucius Institute at Omar Bongo University,omar bongo university,Closed
128,Gambia,Confucius Institute at University of the Gambia,university of the gambia,Closed
129,Georgia,Confucius Institute at Free University of Tbilisi,free university of tbilisi,Open
130,Georgia,Confucius Institute at Tbilisi Open Teaching University,tbilisi open teaching university,Closed
132,Germany,Confucius Institute at the Free University of Berlin,the free university of berlin,Closed
133,Germany,Confucius Institute at the University of Duesseldorf,the university of duesseldorf,Closed
134,Germany,Confucius Institute in Nuremberg-Erlangen,"Nuremberg-Rerlangen, Germany",Open
135,Germany,Confucius Institute at Frankfurt University,frankfurt university,Closed
136,Germany,Confucius Institute at Heidelberg University,heidelberg university,Closed
137,Germany,Confucius Institute at the University of Hamburg,the university of hamburg,Closed
138,Germany,Leibniz-Confucius Institute Hannover,"Hannover, Germany",Closed
139,Germany,Confucius Institute at the University of Leipzig,the university of leipzig,Open
140,Germany,Confucius Institute in Munich,"Munich, Germany",Closed
141,Germany,Confucius Institute in Bremen,"Bremen, Germany",Open
142,Germany,Confucius Institute Metropole Ruhr at the University of Duisburg-Essen,the university of duisburg-essen,Open
143,Germany,Confucius Institute at Erfurt University of Applied Sciences,erfurt university of applied sciences,Closed
144,Germany,Confucius Institute at the University of Freiburg,the university of freiburg,Closed
145,Germany,Confucius Institute at Trier University,trier university,Open
146,Germany,Confucius Institute at University of Paderborn,university of paderborn,Closed
147,Germany,Academic Confucius Institute at University of Gottingen,university of gottingen,Closed
148,Germany,Confucius Institute at Fachhochschule Stralsund University of Applied Sciences,fachhochschule stralsund university of applied sciences,Closed
149,Germany,Audi Ingolstadt Confucius Institute,"Audi Ingolstadt, Germany",Closed
150,Germany,Confucius Institute Bonn,"Bonn, Germany",Closed
151,Ghana,Confucius Institute at the University of Ghana,the university of ghana,Closed
152,Ghana,Confucius Institute at the University of Cape Coast,the university of cape coast,Closed
153,Greece,Business Confucius Institute in Athens,"Athens, Greece",Closed
154,Greece,Confucius Institute at Aristotle University of Thessaloniki,aristotle university of thessaloniki,Closed
155,Greece,Confucius Institute at University of Thessaly,university of thessaly,Closed
156,Guinea,Confucius Institute at Gamal Abdel Nasser University of Conakry,gamal abdel nasser university of conakry,Closed
157,Guyana,Confucius Institute at the University of Guyana,the university of guyana,Closed
158,China,Confucius Institute of Hong Kong,China,Closed
159,Hungary,Confucius Institute at Eotvos Lorand University,eotvos lorand university,Open
160,Hungary,Confucius Institute at University of Szeged,university of szeged,Closed
161,Hungary,Confucius Institute at University of Miskolc,university of miskolc,Closed
162,Hungary,Confucius Institute for Traditional Chinese Medicine at University of Pecs,university of pecs,Open
163,Hungary,Confucius Institute at University of Debrecen,university of debrecen,Open
164,Iceland,Northern Light Confucius Institute,Unveristy of Iceland,Open
165,India,Confucius Institute at University of Mumbai,university of mumbai,Open
166,India,Confucius Institute at VIT University,vit university,Closed
167,India,Chinese Language Teaching Center at Lovely Professional University,lovely professional university,Closed
168,India,Taiwan Education Center at O.P. Global University,o.p. jindal global university,Closed
169,India,School of Chinese Language in Kolkata,School of Chinese Language in Kolkata,Closed
170,India,Bharathiar University,Bharathiar University,Closed
171,India,"KR Mangalam University, Gurugram",KR Mangalam University,Closed
172,India,Taiwan Education Center (TEC) at Chitkara University,chitkara university,Closed
173,Indonesia,Mandarin Language Center (PBM) at University of Al Azhar Indonesia,university of al azhar indonesia,Closed
174,Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Malang,bahasa mandarin at universitas negeri malang,Closed
175,Indonesia,Pusat Bahasa Mandarin at Maranatha Christian University,bahasa mandarin at maranatha christian university,Closed
176,Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Surabaya,bahasa mandarin at universitas negeri surabaya,Closed
177,Indonesia,Pusat Bahasa Mandarin at Tanjungpura University,bahasa mandarin at tanjungpura university,Closed
178,Indonesia,Pusat Bahasa Mandarin at Hasanuddin University,bahasa mandarin at hasanuddin university,Closed
179,Indonesia,Confucius Institute at Universitas Sebelas Maret,universitas sebelas maret,Closed
180,Indonesia,Tourism Confucius Institute at Udayana University,udayana university,Closed
181,Iran,Confucius Institute at University of Tehran,university of tehran,Open
182,Iran,Confucius Institute at the University of Mazandaran,the university of mazandaran,Closed
183,Ireland,Confucius Institute at University College Cork in Ireland,university college cork in ireland,Closed
184,Ireland,"Confucius Institute at University College Dublin, Ireland","university college dublin, ireland",Closed
185,Ireland,Chinese and Regenerative Medicine Confucius Institute at National University of Ireland Galway,national university of ireland galway,Closed
186,Israel,Confucius Institute at Tel Aviv University,tel aviv university,Open
187,Israel,Confucius Institute at Hebrew University of Jerusalem,hebrew university of jerusalem,Closed
188,Italy,Confucius Institute at Sapienza University of Rome,sapienza university of rome,Closed
189,Italy,Confucius Institute at Oriental University of Napoli,oriental university of napoli,Closed
190,Italy,Confucius Institute in Pisa,"Pisa, Italy",Open
191,Italy,Confucius Institute at University of Turin,university of turin,Closed
192,Italy,Confucius Institute at the University of Bologna,the university of bologna,Open
193,Italy,Confucius Institute at the University of Florence,the university of florence,Open
194,Italy,Confucius Institute at Ca' Foscari University of Venice,ca' foscari university of venice,Closed
195,Italy,Confucius Institute at the University of Padova,the university of padova,Open
196,Italy,Confucius Institute at the University of Milan,the university of milan,Closed
