Location,Partner Uni,Country,index,Status
University of Chicago,Renmin University of China,United States,1,Closed
Pennsylvania State University,Dalian University of Technology,United States,2,Closed
Pfeiffer University,Shanxi University,United States,3,Closed
Tulane University,East China Normal University,United States,4,Closed
University of Illinois-Urbana Champaign,Jiangxi Normal University,United States,5,Closed
University of West Florida,Sichuan International Studies University,United States,6,Closed
Texas A&M University,Ocean University of China in Qingdao,United States,7,Closed
Prairie View A&M University,Xi'an International Studies University,United States,8,Closed
Augusta University,Shanghai University of Traditional Chinese Medicine,United States,9,Closed
University of Iowa,East China Normal University,United States,10,Closed
University of North Florida,Shaanxi Normal University,United States,11,Closed
Texas Southern University,Beijing Jiaotong University,United States,12,Closed
North Carolina State University,Nanjing Normal University,United States,13,Closed
University of Michigan,Renmin University of China,United States,14,Closed
University of South Florida,Qingdao University,United States,15,Closed
University of Rhode Island,Zhejiang University,United States,16,Closed
Purdue University,Shanghai Jiao Tong University,United States,17,Closed
University of Massachusetts Boston,Renmin University of China,United States,18,Closed
University of Tennessee Knoxville,Southeast University,United States,19,Closed
University of Minnesota,Capital Normal University,United States,20,Closed
University of Texas - San Antonio,University of International Business and Economics,United States,21,Closed
University of Montana,Southwest University of Political Science & Law,United States,22,Closed
Indiana University-Purdue University,Sun Yat-sen University,United States,23,Closed
Western Kentucky University,North China Electric Power University,United States,24,Closed
University of Oregon,East China Normal University,United States,25,Closed
Clark County School District,,United States,26,Closed
Northern State University,University of Jinan,United States,27,Closed
San Francisco State University,Beijing Normal University,United States,28,Closed
University of Hawaii Manoa,Beijing Foreign Studies University,United States,29,Closed
Arizona State University,Sichuan University,United States,30,Closed
Kansas State University,,United States,31,Closed
San Diego State University,Xiamen University,United States,32,Closed
Auburn University at Montgomery,Hubei University of Economics,United States,33,Closed
University of Texas - Dallas,Southeast University,United States,34,Closed
Miami Dade College,Jiangsu Normal University,United States,35,Closed
Kennesaw State University,Yangzhou University,United States,36,Closed
Broward County Public Schools,,United States,37,Closed
University of Delaware,Xiamen University,United States,38,Closed
Pace University,"Nanjing Normal University,Phoenix publishing & media group",United States,39,Closed
University of Kansas,Central China Normal University,United States,40,Closed
University of Washington,"Sichuan University, Chongqing Municipal Education Commission",United States,41,Closed
University of Missouri,Shanghai Normal University,United States,42,Closed
University of Maryland,Nankai University,United States,43,Closed
"University of Alaska, Anchorage",Northeast Normal University,United States,44,Closed
New Mexico State University,Shijiazhuang Vocational College of Science & Technology; Hebei Normal University,United States,45,Closed
University of Arizona,Shaanxi Normal University,United States,46,Closed
Miami University,Liaoning Normal University,United States,47,Closed
University of California-Davis,Jiangnan University,United States,48,Closed
University of Pittsburgh,Wuhan University,United States,49,Closed
California State University - Long Beach,Hebei Institute of Foreign Languages,United States,50,Closed
University of Oklahoma,Beijing Normal University,United States,51,Closed
University of Memphis,Hubei University,United States,52,Closed
George Mason University,Beijing Language and Culture University,United States,53,Closed
Old Dominion University,Minzu University of China,United States,54,Closed
Savannah State University,Jiujiang University,United States,55,Closed
Georgia State University,Beijing Language and Culture University,United States,56,Closed
"University of California, Los Angeles",Shanghai Jiao Tong University,United States,57,Closed
University of North Carolina Charlotte,Chinese Testing International,United States,58,Closed
