,survey_year,country,id,id_survey,regional_location,qdate_s,sex,male,age,d_hhpeople,d_adult_us,wealthy,political_affiliation,religious_affiliation,education_level,us_econ_power,china_econ_power,japan_econ_power,eu_econ_power,other_econ_power,prefer_us_econ,prefer_china_econ,children_betteroff,confid_uspres: How much confidence you have in the U.S. President to do the right thing regarding world affairs? ,confid_uspres,us_threat,china_threat,fav_us,fav_china,fav_russia,country_satis,satisfied_democracy,confid_xi,confid_putin,econ_sit,religion_import,respect_china,respect_us,improve_econ,intthreat_econcondition,us_relationship,china_econ,china_military,"children_betteroff: When children today in (survey country) grow up, do you think they will be better off or worse off financially than their parents?",fav_us: I am _____ to  the U.S. ,fav_china: I am _____  to  China,fav_russia: I am _____  to  Russia,country_satis: How satisfied are you with the way things are going in our country today?,satisfied_democracy: How satisfied are you with the way democracy is working in our country?,confid_xi: How much confidence you have in Xi to do the right thing regarding world affairs? ,confid_putin: How much confidence you have in Putin  to do the right thing regarding world affairs? ,econ_sit: Describe the current economic situation in (survey country) ,econ_power: What is the world's leading economic power?,us_or_china: Is it more important for (survey country) to have strong economic ties with China or the United States?,religion_import: How important is religion in your life? ,respect_china: Does the government of China respects the personal freedoms of its people?,respect_us: Does the government of the US respects the personal freedoms of its people?,us_threat: Is the U.S.'s power and influence a threat to your country?,china_threat: Is China's power and influence a threat to your country?,improve_econ: How do you expect the economic condition to change in the next 12 months?,intthreat_econcondition: Is the condition of the global economy a threat to your country?,us_relationship: How would you describe your relationship with the U.S.?,china_econ: Do you think that China’s growing economy is a good thing for (survey country)?,china_military: Do you think that China’s growing military power is a good thing for (survey country)?,global_trade: Is trade and business ties between (survey country) and other countries a good thing or a bad thing for (survey country)?,global_movement: Is the movement of people between (survey country) and other countries a good thing or a bad thing for (survey country)?,global_information: Is the availability of news and information from other countries a good thing or a bad thing for (survey country)?,china_jobloss: Is the loss of U.S. jobs to China a serious problem?,china_deficit: Is the U.S. trade deficit with China a serious problem?,china_taiwan: Are tensions between China and Taiwan  a serious problem?,china_environ: Is China's impact on the global environment a serious problem?,china_debt: Is  the large amount of American debt that is held by China a serious problem?,china_terrdisputes: Are territorial disputes between China and neighboring countries a serious problem?,"us_def_china: If (survey country) and China got into a serious military conflict, do you think that the United States would use military force to defend our country?",china_econ_military: Does China's economic or military strength concern you more?,us_world_role: How does the U.S.'s role today compare to their role as a world leader 10 years ago?,world_role_china: How does China's role today compare to their role as a world leader 10 years ago?,world_role_russia: How does Russia's role today compare to their role as a world leader 10 years ago?,usrel_betterworse: How have relations between (survey country) and the U.S. changed over the past year?,involved_us: Is the U.S. helping to address major global problems?,influaffairs_russia: Do you think Russia tries to influence the internal affairs of other countries?,"interest_surveycountry: In making international policy decisions, to what extent do you think the U.S. takes into account the interests of (survey country)?",econ_ties_china: Describe current economic ties between (survey country) and China.,econ_ties_us: Describe current economic ties between (survey country) and the U.S.,foreign_threats: What country or group poses the greatest threat to (survey country) in the future?,foreign_allies: What country can (survey country) most rely on as a dependable ally in the future?,foreigncom_buy: How do foreign companies buying (survey country) companies impact (survey country)?,foreigncom_new: How do foreign companies building new factories impact (survey country)?,china_invest: How do you view investment from China?,future_usrel: How do you feel about (survey country)  relations with the U.S.,russia_relationship: Is it more important to have a close relationship to Russia or to the U.S.? ,us_mil_asia: How has the U.S. military presence in the Asia-Pacific region affected the (survey country)?,"china_us_enemy: Do you think of China as a partner, competitor or enemy of the U.S.?",econsys_reform: Do you think that the economic system of (survey country) needs to be reformed?,china_tough_econ: Is it more important to be tough on China's territorial disputes or build a strong economic relationship with them?,russia_threat: Is Russia's power and influence a threat to your country?,china_influence: How much influence does the China exert on other countries?,us_influence: How much influence does the U.S. exert on other countries?,polsys_reform: Do you think that the political system of (survey country) needs to be reformed?,econ_ties_usch: How do you view current economic ties between the U.S. and China?,adm1,adm1_id,month
10110,2021,Australia,10111,3000013,"New South Wales (NSW), excluding Sydney",3/20/21,Male,1,55,4,2,,Liberal-National Party/Country Liberal Party/Liberal,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,3.0,Not too much confidence,2,,,3,2,,,3.0,2,2,2,2,0.0,1.0,,,3.0,,,Better off,Somewhat favorable,Somewhat unfavorable,,,Somewhat satisfied,Not too much confidence,Not too much confidence,Somewhat bad,,The United States,Not too important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,New South Wales,AU-NSW,3
10111,2021,Australia,10112,3000442,"New South Wales (NSW), excluding Sydney",3/30/21,Male,1,60,6,4,,Do not feel close to any party,Atheist,Year 10 or equivalent (School Certificate SC or equivalent) (usually 16 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,2,1,,,3.0,1,1,2,1,0.0,0.0,,,3.0,,,Worse off,Somewhat unfavorable,Very unfavorable,,,Somewhat satisfied,No confidence at all,No confidence at all,Somewhat bad,,The United States,Not at all important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,New South Wales,AU-NSW,3
10112,2021,Australia,10113,3000802,"Victoria (VIC), excluding Melbourne",3/30/21,Female,0,67,4,2,,Labor,Catholic,Year 8 or below (usually 14 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,1,1,,,2.0,1,1,2,3,0.0,0.0,,,2.0,,,Worse off,Very unfavorable,Very unfavorable,,,Not too satisfied,No confidence at all,No confidence at all,Somewhat bad,,The United States,Somewhat important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat bad,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10113,2021,Australia,10114,3000890,"Victoria (VIC), excluding Melbourne",3/20/21,Male,1,26,4,2,,Do not feel close to any party,Protestant,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,0.0,3.0,A lot of confidence,4,,,3,3,,,3.0,4,3,4,3,0.0,1.0,,,3.0,,,Better off,Somewhat favorable,Somewhat favorable,,,Somewhat satisfied,A lot of confidence,Some confidence,Very good,,Economic ties to both countries are equally important,Somewhat important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10114,2021,Australia,10115,3001051,"Victoria (VIC), excluding Melbourne",4/8/21,Female,0,66,3,1,,Labor,Protestant,Year 10 or equivalent (School Certificate SC or equivalent) (usually 16 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,2,1,,,1.0,1,1,1,3,0.0,0.0,,,3.0,,,Worse off,Somewhat unfavorable,Very unfavorable,,,Not at all satisfied,No confidence at all,No confidence at all,Very bad,,The United States,Somewhat important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,Victoria,AU-VIC,4
10115,2021,Australia,10116,3001578,Victoria,4/6/21,Female,0,28,3,1,,The Greens,Agnostic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,2,2,,,2.0,2,2,2,2,0.0,0.0,,,2.0,,,Worse off,Somewhat unfavorable,Somewhat unfavorable,,,Not too satisfied,Not too much confidence,Not too much confidence,Somewhat bad,,China,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat bad,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,Victoria,AU-VIC,4
10116,2021,Australia,10117,3001676,Victoria,3/25/21,Female,0,59,7,5,,Labor,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,8.0,Some confidence,3,,,2,2,,,2.0,1,1,3,2,0.0,0.0,,,3.0,,,Don't know,Somewhat unfavorable,Somewhat unfavorable,,,Not too satisfied,No confidence at all,No confidence at all,Somewhat good,,The United States,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10117,2021,Australia,10118,3001806,Western Australia,3/24/21,Male,1,73,4,2,,Other,Protestant,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,3.0,Some confidence,3,,,3,1,,,3.0,1,2,3,4,0.0,1.0,,,4.0,,,Better off,Somewhat favorable,Very unfavorable,,,Somewhat satisfied,No confidence at all,Not too much confidence,Somewhat good,,China,Very important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,Western Australia,AU-WA,3
10118,2021,Australia,10119,3001815,Western Australia,3/26/21,Male,1,28,5,3,,Liberal-National Party/Country Liberal Party/Liberal,Atheist,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,3.0,A lot of confidence,4,,,3,2,,,3.0,1,2,3,1,0.0,1.0,,,4.0,,,Better off,Somewhat favorable,Somewhat unfavorable,,,Somewhat satisfied,No confidence at all,Not too much confidence,Somewhat good,,The United States,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,Western Australia,AU-WA,3
10119,2021,Australia,10120,3001836,"New South Wales (NSW), excluding Sydney",3/22/21,Female,0,68,4,2,"$79,000 or less",The Greens,Atheist,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,1,1,,,1.0,1,1,3,1,0.0,1.0,,,3.0,,,Worse off,Very unfavorable,Very unfavorable,,,Not at all satisfied,No confidence at all,No confidence at all,Somewhat good,,The United States,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,New South Wales,AU-NSW,3
